########## Abreviaciones de los equipos #########
dni = FC_Dnipro
oly = Olympiakos_FC
shk = FC_Shakhtar_Donetsk
gal = Galatasaray_SK
kie = FC_Dynamo_Kiev
fen = Fenerbahce_SK
zen = FC_Zenit
bes = Besiktas_JK
csk = CSKA_Moscu
che = Chelsea_FC
cit = Manchester_City_FC
man = Manchester_United_FC
ars = Arsenal_FC
liv = Liverpool_FC
tot = Tottenham_Hotspur_FC
eve = Everton_FC
sou = Southampton_FC
new = Newcastle_United_FC
swa = Swansea_City_FC
wha = West_Ham_United_FC
bmu = FC_Bayern_Munich
bdo = BV_Borussia_Dortmund
sch = FC_Schalke_04
wol = VfL_Wolfsburg
ble = TSV_Bayer_04_Leverkusen
bmo = FC_Borussia_M'gladbach
psv = PSV_Eindhoven
hof = TSG_Hoffenheim
ajx = AFC_Ajax
zag = Dinamo_Zagreb
fey = Feyenoord_Rotterdam
bas = FC_Basel
ros = Rosenborg_BK
fcb = FC_Barcelona
rma = Real_Madrid_CF
atm = Club_Atletico_Madrid
sev = Sevilla_FC
val = Valencia_CF
ath = Athletic_Club_de_Bilbao
opo = FC_Porto
ben = SL_Benfica
vil = Villarreal_CF
spo = Sporting_CP
rso = Real_Sociedad_de_Futbol
mal = Malaga_CF
ray = Rayo_Vallecano_de_Madrid
bet = Real_Betis_Balompie
cel = Celta_de_Vigo
dep = Deportivo_la_Coruña
asm = AS_Monaco
lil = LOSC_Lille
mar = Olympique_Marsella
lyo = Olympique_Lyon
gir = FC_Girondis_Bourdeaux
udi = Udinese_Calcio
bru = Club_Brugge
and = RSC_Anderlecht
juv = Juventus_FC
psg = Paris_Saint-Germain
rom = AS_Roma
mil = AC_Milan
laz = SS_Lazio
fio = AFC_Fiorentina
nap = SSC_Napoli
int = Inter_de_Milan_FC
war = Legia_Varsovia
lpa = Las_Palmas
lei = Leicester_City
tor = Torino_FC
